img1,img2,deepfake,FaceNet_genuine,FaceNet_fake,DeepFace_genuine,DeepFace_fake,Arcface_genuine,Arcface_fake
roztriedene/1/CFP_1.jpg,roztriedene/1/CFP_2.jpg,roztriedene/1/Deep_2.jpg,0.2260380525461838,0.8038428091285046,0.2712775069602662,0.2955322391946442,0.40478904861079223,0.9954810029355488
roztriedene/2/CFP_1.jpg,roztriedene/2/CFP_2.jpg,roztriedene/2/Deep_2.jpg,0.15526851260029373,,0.22717381350428012,,0.18651480533383857,
roztriedene/3/CFP_1.jpg,roztriedene/3/CFP_2.jpg,roztriedene/3/Deep_2.jpg,0.13245906818697362,0.6667006881664699,0.1045318041435852,0.13710544326414054,0.1982017925772941,0.8158253217402139
roztriedene/4/CFP_1.jpg,roztriedene/4/CFP_2.jpg,roztriedene/4/Deep_2.jpg,0.4144981392569361,0.6697271399116815,0.4518132635034692,0.38362465079008756,0.44494480640263334,0.9027358075889387
roztriedene/5/CFP_1.jpg,roztriedene/5/CFP_2.jpg,roztriedene/5/Deep_2.jpg,0.2092583022753315,0.8899393088382586,0.14450588967300215,0.13086353538399287,0.26407127036862155,0.9379886106754374
roztriedene/6/CFP_1.jpg,roztriedene/6/CFP_2.jpg,roztriedene/6/Deep_2.jpg,0.481830047986627,0.8461094715102033,0.31543622542786287,0.3148991013634046,0.6311109967231304,0.8696804306438572
roztriedene/7/CFP_1.jpg,roztriedene/7/CFP_2.jpg,roztriedene/7/Deep_2.jpg,0.13572797419257354,0.9209636330380843,0.13019815699734882,0.27779293608857003,0.3057453113567453,0.9259926895647207
roztriedene/8/CFP_1.jpg,roztriedene/8/CFP_2.jpg,roztriedene/8/Deep_2.jpg,0.08327708211879004,0.5673307486980058,0.07433292367450228,0.10663944755657129,0.2051908167889771,0.6823791589022132
roztriedene/9/CFP_1.jpg,roztriedene/9/CFP_2.jpg,roztriedene/9/Deep_2.jpg,0.3436206909447611,0.6481301584398507,0.23466709079381853,0.25981047781100375,0.3209246205066115,0.7514983634168767
roztriedene/10/CFP_1.jpg,roztriedene/10/CFP_2.jpg,roztriedene/10/Deep_2.jpg,0.34249808417798766,0.47428095811090465,0.18893166614055923,0.2045689468367312,0.45245392198494794,0.8877746733863937
roztriedene/11/CFP_1.jpg,roztriedene/11/CFP_2.jpg,roztriedene/11/Deep_2.jpg,0.18670067220976694,1.0409519279862274,0.11928684607928064,0.23481435895734604,0.3787765694158144,0.9378447492184416
roztriedene/12/CFP_1.jpg,roztriedene/12/CFP_2.jpg,roztriedene/12/Deep_2.jpg,0.3320374981691897,0.8978879180549896,0.13581944814960556,0.2673631167288163,0.45713774816396757,0.9515521966171158
roztriedene/13/CFP_1.jpg,roztriedene/13/CFP_2.jpg,roztriedene/13/Deep_2.jpg,0.25232639693665526,0.7337988072197362,0.13008901428838193,0.1794715762027349,0.23860274736626397,0.6521639983764737
